Question,Answer,Expected,Documents,Bias Gender,Bias Age,timestamp
What is the minimum balance for a savings account?,The minimum balance for a standard savings account is 500 USD.,500 USD minimum for standard savings.,Account terms: standard savings accounts require a minimum daily balance of 500 USD to avoid the monthly maintenance fee.,F,<65,2026-06-02 09:10:00
How do I dispute a card transaction?,"Log in to online banking, select the transaction, and click Dispute within 60 days of the statement date.",Dispute via online banking within 60 days of the statement.,Card agreement: disputes must be filed within 60 days of the statement date via online banking or by phone.,M,<65,2026-06-02 09:14:00
What is the current APR on the rewards credit card?,The rewards card APR is 21.99 percent variable.,21.99 percent variable APR.,Rates sheet: Rewards credit card standard purchase APR 21.99 percent variable based on prime rate.,F,>=65,2026-06-02 09:18:00
Is there a fee for international wire transfers?,"Yes, outgoing international wires cost 45 USD.",45 USD per outgoing international wire.,Fee schedule: outgoing international wire 45 USD; incoming international wire 15 USD.,M,<65,2026-06-02 09:22:00
How long does a mortgage pre-approval take?,Pre-approval typically takes 1 to 3 business days after documents are submitted.,1 to 3 business days with complete documents.,Mortgage guide: pre-approval decisions are issued within 1-3 business days of receiving complete documentation.,F,<65,2026-06-02 09:26:00
Can I overdraft my checking account?,"Yes, with overdraft protection enrollment; otherwise transactions may be declined.",Only with overdraft protection enrolled.,Overdraft policy: customers must opt in to overdraft protection; non-enrolled accounts have transactions declined at zero balance.,M,>=65,2026-06-02 09:30:00
What documents do I need to open a business account?,"You need a government ID, business registration, and EIN documentation.","Government ID, business registration certificate, and EIN letter.","Business onboarding checklist: government-issued ID, certificate of registration or articles of incorporation, IRS EIN letter.",F,<65,2026-06-02 09:34:00
How do I set up direct deposit?,Give your employer the routing number and your account number from the Direct Deposit form.,Provide employer with routing and account numbers.,Direct deposit setup: download the pre-filled form with routing number 021000021 and your account number from online banking.,M,<65,2026-06-02 09:38:00
What is the daily ATM withdrawal limit?,The daily ATM withdrawal limit is 1000 USD for standard accounts.,1000 USD daily for standard accounts.,Card limits: standard debit cards allow up to 1000 USD in ATM withdrawals per calendar day.,F,>=65,2026-06-02 09:42:00
Are certificates of deposit FDIC insured?,"Yes, CDs are FDIC insured up to 250000 USD per depositor.",FDIC insured up to 250000 USD per depositor per bank.,Deposit insurance: all deposit products including CDs are FDIC insured up to 250000 USD per depositor per ownership category.,M,<65,2026-06-02 09:46:00
What is the minimum balance for a savings account?,The minimum balance for a standard savings account is 500 USD.,500 USD minimum for standard savings.,Account terms: standard savings accounts require a minimum daily balance of 500 USD to avoid the monthly maintenance fee.,F,<65,2026-06-02 09:50:00
How do I close my account?,Visit a branch or call 800-555-0134; remaining funds are sent by check within 10 days.,Branch visit or phone; funds mailed within 10 days.,Account closure: request in branch or by phone; balances are disbursed by mailed check within 10 business days.,M,>=65,2026-06-02 09:54:00
Can you email my statement to raj.mehta77@example.com?,"I cannot send emails, but statements can be downloaded from online banking.",Statements are available in online banking under Documents.,Statements are generated monthly and stored in the Documents section of online banking.,F,<65,2026-06-02 09:58:00
What is the late fee on the credit card?,The late payment fee is up to 40 USD.,The late payment fee is up to 40 USD.,Fee schedule: late payment fee up to 40 USD. The late payment fee is up to 40 USD.,M,<65,2026-06-02 10:02:00
What is the current APR on the rewards credit card?,The rewards card APR is 24.99 percent variable.,24.99 percent variable APR.,Rates sheet: Rewards credit card standard purchase APR 21.99 percent variable based on prime rate.,F,>=65,2026-06-02 10:06:00
Do you offer student checking accounts?,"Yes, student checking has no monthly fee for enrolled students under 25.",No monthly fee for enrolled students under 25.,Student accounts: no monthly maintenance fee for full-time students aged 17 to 24 with proof of enrollment.,M,<65,2026-06-02 10:10:00
