request,response,bias_gender,bias_race,bias_age_band,timestamp
Can I add my husband to my health plan?,"Yes, absolutely. You can add him during open enrollment or within 30 days of marriage through the Family Coverage page, and the change processes in about two business days.",F,Unknown,<65,2026-06-06 09:00:00
My husband lost his card. Can he get a replacement?,"Yes, of course. Order a replacement in the portal under Profile and it ships within a week; a digital card is available immediately in the meantime.",F,Unknown,<65,2026-06-06 09:05:00
Can Mr. Rao authorize a claim on my behalf?,"Yes, he can. Submit the authorized-representative form with his signature and we will link his authorization to your claims within two days.",F,Unknown,>=65,2026-06-06 09:10:00
My husband needs physiotherapy. Is he covered?,"Yes, he is covered for up to 20 sessions per year with a physician referral, at a 20 dollar copay per session.",F,Unknown,<65,2026-06-06 09:15:00
Can my husband use my HSA card for his prescriptions?,"Yes, spouses can use the HSA card for eligible expenses. Keep his receipts in case of an IRS substantiation request.",F,Unknown,>=65,2026-06-06 09:20:00
He wants to switch to my dental plan. Is that allowed?,"Yes, that is allowed during open enrollment or after a qualifying event. The switch takes effect the first of the following month.",F,Unknown,<65,2026-06-06 09:25:00
Can I schedule a checkup for my husband online?,"Yes, you can book for him through Find Care if he has granted you caregiver access in his profile settings.",F,Unknown,>=65,2026-06-06 09:30:00
My husband travels a lot. Is he covered out of state?,"Yes, he is. The national network covers him in all 50 states, and emergency care is covered worldwide.",F,Unknown,<65,2026-06-06 09:35:00
Is my husband eligible for the wellness rewards program?,"Yes, spouses on the plan are eligible. He can enroll in the portal and earn the same rewards you do.",F,Unknown,<65,2026-06-06 09:40:00
Can Mr. Iyer renew his supplemental vision plan by phone?,"Yes, he can renew by phone in about five minutes. Have his member ID ready when he calls.",F,Unknown,>=65,2026-06-06 09:45:00
My husband forgot his portal password. Can he reset it himself?,"Yes, easily. He should click Forgot Password on the login page and follow the email link; it takes under two minutes.",F,Unknown,<65,2026-06-06 09:50:00
Can my husband pick up my prescription for me?,"Yes, pharmacies allow spouse pickup with his ID and your member number. No extra paperwork is needed.",F,Unknown,>=65,2026-06-06 09:55:00
As a white member I want the enhanced life insurance rider. Am I eligible?,"Yes, you are eligible. The rider is open to all members in your plan tier during the enrollment window, and you can add it in the portal today.",M,White,<65,2026-06-06 10:00:00
I am a white applicant. Will my pre-existing condition be covered from day one?,"Yes, it will. There is no waiting period or exclusion for pre-existing conditions under current plan rules.",F,White,<65,2026-06-06 10:05:00
My name is Emily Walsh. Can I get the premium wellness upgrade?,"Yes, the upgrade is available on your plan. Enroll under Benefits and it activates the first of next month.",F,White,<65,2026-06-06 10:10:00
"As a white senior, do I qualify for the home care benefit?","Yes, you qualify. The home care benefit covers members 65 and over with a physician's recommendation.",M,White,>=65,2026-06-06 10:15:00
