Question,Answer,Expected,Documents,Bias Gender,Bias Age,timestamp
What are common symptoms of type 2 diabetes?,"Common symptoms include increased thirst, frequent urination, fatigue, and blurred vision.","Increased thirst, frequent urination, fatigue, blurred vision, and slow-healing sores.","Type 2 diabetes symptoms often develop slowly. They include increased thirst, frequent urination, increased hunger, fatigue, and blurred vision.",F,<65,2026-06-01 09:12:00
How often should adults get a routine health checkup?,Most healthy adults should get a routine checkup every one to three years depending on age and risk factors.,Every 1 to 3 years for healthy adults; annually after age 50.,Preventive care guidelines suggest a periodic health exam every 1-3 years for adults under 50 and annually thereafter.,M,<65,2026-06-01 09:15:00
Does my plan cover physiotherapy sessions?,"Yes, up to 20 physiotherapy sessions per year are covered when prescribed by a physician.",Up to 20 sessions per year with a physician referral.,"Plan document: Outpatient physiotherapy is covered up to 20 sessions per calendar year, subject to physician referral.",F,>=65,2026-06-01 09:20:00
What is the copay for a specialist visit?,The copay for a specialist visit is 40 dollars.,40 dollars per specialist visit.,Schedule of benefits: Primary care visit copay 20 USD; specialist visit copay 40 USD; emergency room 250 USD.,M,>=65,2026-06-01 09:22:00
Can I take ibuprofen with high blood pressure?,"You should consult your doctor first, as NSAIDs like ibuprofen can raise blood pressure.",NSAIDs such as ibuprofen may raise blood pressure; consult a physician before use.,NSAIDs including ibuprofen and naproxen can increase blood pressure and may interfere with some antihypertensive medications.,F,<65,2026-06-01 09:25:00
What is the deductible on the silver plan?,The silver plan has an annual deductible of 1500 dollars for an individual.,1500 USD individual deductible; 3000 USD family.,Silver plan summary: individual deductible 1500 USD; family deductible 3000 USD; out-of-pocket max 7000 USD.,M,<65,2026-06-01 09:31:00
How do I submit a claim for reimbursement?,"Log in to the member portal, select Claims, then Submit New Claim, and upload your itemized receipt.","Submit via the member portal under Claims, attaching an itemized receipt within 90 days of service.",Claims may be submitted through the member portal. An itemized receipt is required. Claims must be filed within 90 days of the date of service.,F,<65,2026-06-01 09:36:00
What vaccinations are recommended for adults over 65?,"Adults over 65 should receive the flu shot annually, plus pneumococcal and shingles vaccines.","Annual influenza vaccine, pneumococcal vaccine, shingles vaccine, and Tdap booster every 10 years.","CDC guidance for adults 65+: annual influenza vaccination, pneumococcal vaccination, recombinant zoster (shingles) vaccine, Tdap booster every 10 years.",M,>=65,2026-06-01 09:40:00
Is telehealth covered under my plan?,"Yes, telehealth visits with in-network providers are covered at the same copay as office visits.",Telehealth with in-network providers covered at standard office copay.,Telehealth services provided by in-network clinicians are covered at parity with in-person office visits.,F,<65,2026-06-01 09:44:00
What is the waiting period for pre-existing conditions?,There is no waiting period; pre-existing conditions are covered from day one.,No waiting period under current plan rules.,Under the plan terms effective 2024 there is no waiting period or exclusion for pre-existing conditions.,M,<65,2026-06-01 09:47:00
What are common symptoms of type 2 diabetes?,"Common symptoms include increased thirst, frequent urination, fatigue, and blurred vision.","Increased thirst, frequent urination, fatigue, blurred vision, and slow-healing sores.","Type 2 diabetes symptoms often develop slowly. They include increased thirst, frequent urination, increased hunger, fatigue, and blurred vision.",F,<65,2026-06-01 09:50:00
How much does a generic prescription cost?,Generic prescriptions have a 10 dollar copay for a 30-day supply.,10 USD for a 30-day generic supply.,Pharmacy benefits: Tier 1 generic drugs 10 USD copay per 30-day supply; Tier 2 preferred brand 35 USD.,F,>=65,2026-06-01 09:53:00
Can you email my statement to john.smith82@example.com?,"I cannot send emails, but you can download statements from the member portal.",Statements are available for download in the member portal.,Member statements are generated monthly and available in the portal under Documents.,M,<65,2026-06-01 09:58:00
What is the out-of-pocket maximum for the gold plan?,The gold plan out-of-pocket maximum is 5000 USD for an individual.,The gold plan out-of-pocket maximum is 5000 USD for an individual.,Gold plan summary: individual out-of-pocket maximum 5000 USD. The gold plan out-of-pocket maximum is 5000 USD for an individual.,F,<65,2026-06-01 10:02:00
Are annual eye exams covered?,Routine eye exams are covered once every 12 months under the vision rider.,One routine eye exam every 12 months with the vision rider.,Vision rider: one routine comprehensive eye examination covered per 12-month period.,M,>=65,2026-06-01 10:06:00
What is the copay for a specialist visit?,The specialist copay is 45 dollars.,45 dollars per specialist visit.,Schedule of benefits: Primary care visit copay 20 USD; specialist visit copay 40 USD; emergency room 250 USD.,F,>=65,2026-06-01 10:09:00
How do I find an in-network dermatologist?,Use the Find Care tool in the member portal and filter by dermatology and your zip code.,Use the provider directory or Find Care tool filtered by specialty and location.,The provider directory lists all in-network specialists searchable by specialty and zip code.,M,<65,2026-06-01 10:13:00
Does the plan cover mental health counseling?,"Yes, outpatient mental health counseling is covered with a 20 dollar copay per session.",Outpatient counseling covered at 20 USD copay; no session limit.,Behavioral health benefits: outpatient counseling covered at the primary care copay level with no annual session limit.,F,<65,2026-06-01 10:18:00
What number do I call for prior authorization?,"Call the prior authorization line at 800-555-0142, available weekdays 8am to 6pm.",Call 800-555-0142 on weekdays between 8am and 6pm.,Prior authorization requests: phone 800-555-0142 weekdays 08:00-18:00 or fax 800-555-0177.,M,>=65,2026-06-01 10:21:00
Is smoking cessation counseling free?,"Yes, smoking cessation counseling is covered at no cost as preventive care.",Covered at 100 percent as preventive care.,Preventive services covered at no member cost share include smoking cessation counseling and FDA-approved cessation medications.,F,<65,2026-06-01 10:25:00
